quiet_e101_s0          map  digest ff3d28cc->c8d94204 moved=True | changed 1101 = banner  990 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/462 bad, interior 0 off-seg of 528 (glyph 224), no-text!=field 0 | under later layers 0 (residual inside M 0) | trail px through P in pre 0 | PASS
nwburnt_w101_s105      map  digest 7a9e811a->f9b919fc moved=True | changed 1101 = banner  990 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/462 bad, interior 0 off-seg of 528 (glyph 224), no-text!=field 0 | under later layers 0 (residual inside M 0) | trail px through P in pre 43 | PASS
sesmoke_s202_s99       map  digest d8902693->b7f09e15 moved=True | changed 1101 = banner  990 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/462 bad, interior 0 off-seg of 528 (glyph 224), no-text!=field 0 | under later layers 0 (residual inside M 0) | trail px through P in pre 0 | PASS
occluded_n101_s192     map  digest 64298185->c4edcc27 moved=True | changed 1059 = banner  948 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/440 bad, interior 0 off-seg of 462 (glyph 183), no-text!=field 0 | under later layers 88 (residual inside M 61) | trail px through P in pre 105 | PASS
prob_w101_s105         PROB digest 02c55647->b5a3253c moved=True | changed 1100 = banner  989 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/462 bad, interior 0 off-seg of 528 (glyph 224), no-text!=field 0 | under later layers 0 (residual inside M 0) | trail px through P in pre 43 | PASS
prob_n101_s192         PROB digest a650f52e->a5cda998 moved=True | changed 1058 = banner  947 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/440 bad, interior 0 off-seg of 462 (glyph 183), no-text!=field 0 | under later layers 88 (residual inside M 61) | trail px through P in pre 105 | PASS
trail_w101_s60         map  digest bf5ffc39->a0dca56f moved=True | changed 1101 = banner  990 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/462 bad, interior 0 off-seg of 528 (glyph 224), no-text!=field 0 | under later layers 0 (residual inside M 0) | trail px through P in pre 43 | PASS
w101_s30               map  digest 730fe7b8->8c9b6e28 moved=True | changed 1101 = banner  990 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/462 bad, interior 0 off-seg of 528 (glyph 224), no-text!=field 0 | under later layers 0 (residual inside M 0) | trail px through P in pre 0 | PASS
w101_s150              map  digest 7681107e->6142180a moved=True | changed 1101 = banner  990 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/462 bad, interior 0 off-seg of 528 (glyph 224), no-text!=field 0 | under later layers 0 (residual inside M 0) | trail px through P in pre 43 | PASS
w101_s200              map  digest 962d19e9->ec84aa9c moved=True | changed 1101 = banner  990 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/462 bad, interior 0 off-seg of 528 (glyph 224), no-text!=field 0 | under later layers 0 (residual inside M 0) | trail px through P in pre 43 | PASS
s202_s130              map  digest 5ce719c1->99bfcf5f moved=True | changed 1101 = banner  990 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/462 bad, interior 0 off-seg of 528 (glyph 224), no-text!=field 0 | under later layers 0 (residual inside M 0) | trail px through P in pre 0 | PASS
s202_s160              map  digest bdbfa971->54a283d6 moved=True | changed 1101 = banner  990 + old label 111 | A stray 0 | B silent 0/0 | C tones 0/462 bad, interior 0 off-seg of 528 (glyph 224), no-text!=field 0 | under later layers 0 (residual inside M 0) | trail px through P in pre 0 | PASS
PIXEL AUDIT: PASS (12 arms)
