[09:53:10] CHAIN2 START - draining 2 orphaned run(s) from the dead chain
[09:54:10] .. alive; sims=1
[09:55:10] .. alive; sims=0
[09:55:12] orphans drained; dcAref now 8/13
[09:55:12] STAGE 2 dcAref - resume the armed refactor-inertness control
[09:56:10] .. alive; sims=3
[09:57:10] .. alive; sims=5
[09:58:11] .. alive; sims=5
[09:59:11] .. alive; sims=5
[10:00:11] .. alive; sims=3
[10:01:11] STAGE 2 done: dcAref 13/13
[10:01:11] STAGE 3 dcinert - proving the --set passthrough is inert
[10:01:11] .. alive; sims=1
[10:02:12] .. alive; sims=1
[10:03:12] .. alive; sims=1
[10:04:12] .. alive; sims=1
[10:05:12] .. alive; sims=1
[10:06:13] .. alive; sims=1
[10:07:13] .. alive; sims=1
[10:08:13] .. alive; sims=1
[10:09:13] .. alive; sims=1
[10:10:13] .. alive; sims=1
[10:11:14] .. alive; sims=1
[10:12:14] .. alive; sims=1
[10:13:14] .. alive; sims=1
[10:14:14] .. alive; sims=1
[10:15:15] .. alive; sims=1
[10:16:15] .. alive; sims=1
[10:17:15] .. alive; sims=1
[10:18:15] .. alive; sims=1
[10:19:15] .. alive; sims=1
[10:20:16] .. alive; sims=1
[10:21:16] .. alive; sims=1
[10:22:16] .. alive; sims=1
[10:23:16] .. alive; sims=1
[10:24:17] .. alive; sims=1
[10:25:17] .. alive; sims=1
[10:26:17] .. alive; sims=1
[10:27:17] .. alive; sims=1
[10:28:18] .. alive; sims=1
[10:29:18] .. alive; sims=1
[10:30:18] .. alive; sims=1
[10:31:18] .. alive; sims=1
[10:32:19] .. alive; sims=1
[10:33:19] .. alive; sims=1
[10:34:19] .. alive; sims=1
[10:35:19] .. alive; sims=1
[10:36:19] .. alive; sims=1
[10:37:20] .. alive; sims=1
[10:38:20] .. alive; sims=1
[10:39:20] .. alive; sims=1
[10:40:20] .. alive; sims=1
[10:41:21] .. alive; sims=1
[10:42:21] .. alive; sims=1
[10:43:21] .. alive; sims=1
[10:44:21] .. alive; sims=1
[10:44:59] STAGE 3 done: 1 shard(s)
[10:44:59] STAGE 4a route_blocked gate, arms A and B (8 concurrent shards)
[10:45:22] .. alive; sims=8
[10:46:22] .. alive; sims=8
[10:47:22] .. alive; sims=8
[10:48:22] .. alive; sims=8
[10:49:23] .. alive; sims=8
[10:50:23] .. alive; sims=8
[10:51:23] .. alive; sims=8
[10:52:23] .. alive; sims=8
[10:53:24] .. alive; sims=8
[10:54:24] .. alive; sims=8
[10:55:24] .. alive; sims=8
[10:56:24] .. alive; sims=8
[10:57:25] .. alive; sims=8
[10:58:25] .. alive; sims=8
[10:59:25] .. alive; sims=8
[11:00:26] .. alive; sims=8
[11:01:26] .. alive; sims=8
[11:02:26] .. alive; sims=8
[11:03:26] .. alive; sims=8
[11:04:27] .. alive; sims=8
[11:05:27] .. alive; sims=8
[11:06:27] .. alive; sims=8
[11:07:27] .. alive; sims=8
[11:08:28] .. alive; sims=6
[11:09:28] .. alive; sims=6
[11:10:28] .. alive; sims=6
[11:11:29] .. alive; sims=6
[11:12:29] .. alive; sims=6
[11:13:29] .. alive; sims=6
[11:14:29] .. alive; sims=6
[11:15:30] .. alive; sims=6
[11:16:30] .. alive; sims=6
[11:17:30] .. alive; sims=6
[11:18:30] .. alive; sims=6
[11:19:31] .. alive; sims=6
[11:20:31] .. alive; sims=6
[11:21:31] .. alive; sims=6
[11:22:31] .. alive; sims=6
[11:23:32] .. alive; sims=6
[11:24:32] .. alive; sims=6
[11:25:32] .. alive; sims=6
[11:26:32] .. alive; sims=6
[11:27:33] .. alive; sims=6
[11:28:33] .. alive; sims=6
[11:29:33] .. alive; sims=6
[11:30:34] .. alive; sims=6
[11:31:34] .. alive; sims=6
[11:32:34] .. alive; sims=6
[11:33:34] .. alive; sims=6
[11:34:35] .. alive; sims=6
[11:35:35] .. alive; sims=5
[11:36:35] .. alive; sims=4
[11:37:35] .. alive; sims=4
[11:38:36] .. alive; sims=4
[11:39:36] .. alive; sims=4
[11:40:36] .. alive; sims=4
[11:41:36] .. alive; sims=3
[11:42:36] .. alive; sims=3
[11:43:37] .. alive; sims=2
[11:44:37] .. alive; sims=2
[11:45:37] .. alive; sims=2
[11:46:37] .. alive; sims=2
[11:47:38] .. alive; sims=2
[11:48:38] .. alive; sims=2
[11:49:38] .. alive; sims=2
[11:50:38] .. alive; sims=2
[11:51:39] .. alive; sims=2
[11:52:39] .. alive; sims=2
[11:53:39] .. alive; sims=2
[11:54:39] .. alive; sims=2
[11:55:40] .. alive; sims=2
[11:56:40] .. alive; sims=2
[11:57:40] .. alive; sims=2
[11:58:40] .. alive; sims=2
[11:59:40] .. alive; sims=1
[12:00:41] .. alive; sims=1
[12:01:41] .. alive; sims=0
[12:02:41] .. alive; sims=0
[12:03:41] .. alive; sims=0
[12:04:42] .. alive; sims=0
[12:05:42] .. alive; sims=0
[12:06:42] .. alive; sims=0
[12:07:42] .. alive; sims=0
[12:08:43] .. alive; sims=0
[12:09:43] .. alive; sims=0
[12:10:43] .. alive; sims=0
[12:11:43] .. alive; sims=0
[12:12:44] .. alive; sims=0
[12:13:44] .. alive; sims=0
[12:14:44] .. alive; sims=0
[12:15:44] .. alive; sims=0
[12:16:45] .. alive; sims=0
[12:17:45] .. alive; sims=0
[12:18:45] .. alive; sims=0
[12:19:45] .. alive; sims=0
[12:20:45] .. alive; sims=0
[12:21:46] .. alive; sims=0
[12:22:46] .. alive; sims=0
[12:23:46] .. alive; sims=0
[12:24:46] .. alive; sims=0
[12:25:47] .. alive; sims=0
[12:26:47] .. alive; sims=0
[12:27:47] .. alive; sims=0
[12:28:47] .. alive; sims=0
[12:29:48] .. alive; sims=0
[12:30:48] .. alive; sims=0
[12:31:48] .. alive; sims=0
[12:32:48] .. alive; sims=0
[12:33:49] .. alive; sims=0
