[12:39:46] CHAIN3 START (sims already running: 0 - expected 0)
[12:39:47] STAGE: gate arms C and D + full test suite, concurrent
[12:39:47] pytest launched pid=1637
[12:39:47] gate arms launched: C pid=1639  D pid=1640
[12:40:46] .. alive [gate arms C and D + full test suite, concurrent] sims=9 shards=0/8
[12:41:47] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:42:47] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:43:48] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:44:48] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:45:49] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:46:49] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:47:50] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:48:50] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:49:50] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:50:51] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:51:51] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:52:52] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:53:52] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:54:53] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:55:53] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:56:53] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:57:54] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:58:54] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[12:59:55] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[13:00:55] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[13:01:56] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[13:02:56] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[13:03:56] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[13:04:57] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[13:05:57] .. alive [gate arms C and D + full test suite, concurrent] sims=10 shards=0/8
[13:06:58] .. alive [gate arms C and D + full test suite, concurrent] sims=9 shards=1/8
[13:07:58] .. alive [gate arms C and D + full test suite, concurrent] sims=9 shards=1/8
[13:08:59] .. alive [gate arms C and D + full test suite, concurrent] sims=8 shards=2/8
[13:09:59] .. alive [gate arms C and D + full test suite, concurrent] sims=8 shards=2/8
[13:10:59] .. alive [gate arms C and D + full test suite, concurrent] sims=7 shards=3/8
[13:12:00] .. alive [gate arms C and D + full test suite, concurrent] sims=7 shards=3/8
[13:13:00] .. alive [gate arms C and D + full test suite, concurrent] sims=7 shards=3/8
[13:14:01] .. alive [gate arms C and D + full test suite, concurrent] sims=6 shards=4/8
[13:15:01] .. alive [gate arms C and D + full test suite, concurrent] sims=5 shards=5/8
[13:16:01] .. alive [gate arms C and D + full test suite, concurrent] sims=5 shards=5/8
[13:17:02] .. alive [gate arms C and D + full test suite, concurrent] sims=5 shards=5/8
[13:18:02] .. alive [gate arms C and D + full test suite, concurrent] sims=4 shards=6/8
[13:19:03] .. alive [gate arms C and D + full test suite, concurrent] sims=4 shards=6/8
[13:20:03] .. alive [gate arms C and D + full test suite, concurrent] sims=4 shards=6/8
[13:21:03] .. alive [gate arms C and D + full test suite, concurrent] sims=4 shards=6/8
[13:22:04] .. alive [gate arms C and D + full test suite, concurrent] sims=4 shards=6/8
[13:23:04] .. alive [gate arms C and D + full test suite, concurrent] sims=4 shards=6/8
[13:24:05] .. alive [gate arms C and D + full test suite, concurrent] sims=4 shards=6/8
[13:25:05] .. alive [gate arms C and D + full test suite, concurrent] sims=3 shards=6/8
[13:26:05] .. alive [gate arms C and D + full test suite, concurrent] sims=3 shards=6/8
[13:27:06] .. alive [gate arms C and D + full test suite, concurrent] sims=3 shards=6/8
[13:28:06] .. alive [gate arms C and D + full test suite, concurrent] sims=3 shards=6/8
[13:29:06] .. alive [gate arms C and D + full test suite, concurrent] sims=3 shards=6/8
[13:30:07] .. alive [gate arms C and D + full test suite, concurrent] sims=3 shards=6/8
[13:31:07] .. alive [gate arms C and D + full test suite, concurrent] sims=3 shards=6/8
[13:32:08] .. alive [gate arms C and D + full test suite, concurrent] sims=2 shards=7/8
[13:33:08] .. alive [gate arms C and D + full test suite, concurrent] sims=2 shards=7/8
[13:34:08] .. alive [gate arms C and D + full test suite, concurrent] sims=2 shards=7/8
[13:35:09] .. alive [gate arms C and D + full test suite, concurrent] sims=2 shards=7/8
[13:36:09] .. alive [gate arms C and D + full test suite, concurrent] sims=2 shards=7/8
[13:37:09] .. alive [gate arms C and D + full test suite, concurrent] sims=2 shards=7/8
[13:37:19] GATE DONE: C=4/4 D=4/4
[13:37:19] STAGE: waiting on pytest
[13:37:19] PYTEST DONE: 8 failed, 562 passed, 5 warnings in 2713.50s (0:45:13)
[13:37:19] DC_CHAIN3_COMPLETE
