START A100 maxpar=13 extra=--grid 100 --expose-dims --fast-nsb --verify-nsb 200 --steps 960 --checkpoints 240,500 09:32:23
DONE A100_east_def_101 rc=0 size=172273 10:48:43 A100 grid=100 east/default seed=101 steps=960 rescued=2 dead=1 unreachable=1 nd=1 ff_deaths=1 terminal=210 wall=4557s init=0.1s mem=949.0 nsb={'calls': 355759, 'builds': 387, 'verified': 1778, 'mismatch': 0, 'fallback': 0, 'enabled': True} cp240[cov_s=0.38 cov_all=0.57 resc=2 dead=0 nd=2 burnt=0.09] cp500[cov_s=0.43 cov_all=0.64 resc=2 dead=0 nd=2 burnt=0.31] cp960[cov_s=0.44 cov_all=0.88 resc=2 dead=1 nd=1 burnt=0.56]
DONE A100_south_half_101 rc=0 size=175557 11:03:48 A100 grid=100 south/half seed=101 steps=960 rescued=3 dead=0 unreachable=1 nd=1 ff_deaths=0 terminal=210 wall=5472s init=0.1s mem=950.8 nsb={'calls': 312094, 'builds': 564, 'verified': 1560, 'mismatch': 0, 'fallback': 0, 'enabled': True} cp240[cov_s=0.43 cov_all=0.52 resc=3 dead=0 nd=1 burnt=0.18] cp500[cov_s=0.55 cov_all=0.68 resc=3 dead=0 nd=1 burnt=0.43] cp960[cov_s=0.56 cov_all=0.81 resc=3 dead=0 nd=1 burnt=0.78]
DONE A100_east_def_202 rc=0 size=171604 11:07:16 A100 grid=100 east/default seed=202 steps=960 rescued=1 dead=2 unreachable=1 nd=1 ff_deaths=1 terminal=270 wall=5667s init=0.1s mem=951.0 nsb={'calls': 349433, 'builds': 492, 'verified': 1747, 'mismatch': 0, 'fallback': 0, 'enabled': True} cp240[cov_s=0.30 cov_all=0.54 resc=0 dead=1 nd=2 burnt=0.27] cp500[cov_s=0.43 cov_all=0.69 resc=1 dead=1 nd=2 burnt=0.51] cp960[cov_s=0.44 cov_all=0.78 resc=1 dead=2 nd=1 burnt=0.77]
DONE A100_south_half_202 rc=0 size=175114 11:13:23 A100 grid=100 south/half seed=202 steps=960 rescued=2 dead=1 unreachable=1 nd=1 ff_deaths=0 terminal=214 wall=6045s init=0.1s mem=952.0 nsb={'calls': 291144, 'builds': 556, 'verified': 1455, 'mismatch': 0, 'fallback': 0, 'enabled': True} cp240[cov_s=0.56 cov_all=0.61 resc=2 dead=1 nd=1 burnt=0.49] cp500[cov_s=0.67 cov_all=0.72 resc=2 dead=1 nd=1 burnt=0.66] cp960[cov_s=0.70 cov_all=0.76 resc=2 dead=1 nd=1 burnt=0.82]
DONE A100_east_def_303 rc=0 size=171351 11:17:12 A100 grid=100 east/default seed=303 steps=960 rescued=1 dead=2 unreachable=1 nd=1 ff_deaths=1 terminal=210 wall=6260s init=0.1s mem=947.2 nsb={'calls': 309847, 'builds': 389, 'verified': 1549, 'mismatch': 0, 'fallback': 0, 'enabled': True} cp240[cov_s=0.32 cov_all=0.67 resc=1 dead=2 nd=1 burnt=0.53] cp500[cov_s=0.33 cov_all=0.82 resc=1 dead=2 nd=1 burnt=0.68] cp960[cov_s=0.40 cov_all=0.90 resc=1 dead=2 nd=1 burnt=0.72]
DONE A100_east_half_101 rc=0 size=175314 11:26:14 A100 grid=100 east/half seed=101 steps=960 rescued=2 dead=1 unreachable=1 nd=1 ff_deaths=1 terminal=210 wall=6829s init=0.1s mem=947.4 nsb={'calls': 2903484, 'builds': 609, 'verified': 14517, 'mismatch': 0, 'fallback': 0, 'enabled': True} cp240[cov_s=0.60 cov_all=0.69 resc=2 dead=0 nd=2 burnt=0.09] cp500[cov_s=0.61 cov_all=0.77 resc=2 dead=0 nd=2 burnt=0.31] cp960[cov_s=0.62 cov_all=0.87 resc=2 dead=1 nd=1 burnt=0.56]
DONE A100_south_half_404 rc=0 size=175308 11:45:48 A100 grid=100 south/half seed=404 steps=960 rescued=2 dead=2 unreachable=0 nd=0 ff_deaths=0 terminal=273 wall=7986s init=0.1s mem=954.6 nsb={'calls': 194372, 'builds': 420, 'verified': 971, 'mismatch': 0, 'fallback': 0, 'enabled': True} cp240[cov_s=0.45 cov_all=0.61 resc=1 dead=0 nd=2 burnt=0.36] cp500[cov_s=0.68 cov_all=0.75 resc=2 dead=2 nd=0 burnt=0.69] cp960[cov_s=0.72 cov_all=0.81 resc=2 dead=2 nd=0 burnt=0.84]
DONE A100_east_half_505 rc=0 size=174947 11:53:32 A100 grid=100 east/half seed=505 steps=960 rescued=1 dead=2 unreachable=1 nd=1 ff_deaths=1 terminal=210 wall=8458s init=0.1s mem=946.1 nsb={'calls': 2172318, 'builds': 715, 'verified': 10861, 'mismatch': 0, 'fallback': 0, 'enabled': True} cp240[cov_s=0.50 cov_all=0.61 resc=1 dead=1 nd=2 burnt=0.46] cp500[cov_s=0.50 cov_all=0.70 resc=1 dead=2 nd=1 burnt=0.72] cp960[cov_s=0.51 cov_all=0.78 resc=1 dead=2 nd=1 burnt=0.77]
DONE A100_east_half_303 rc=0 size=174373 12:05:31 A100 grid=100 east/half seed=303 steps=960 rescued=2 dead=2 unreachable=0 nd=0 ff_deaths=1 terminal=294 wall=9181s init=0.1s mem=948.9 nsb={'calls': 2608496, 'builds': 576, 'verified': 13042, 'mismatch': 0, 'fallback': 0, 'enabled': True} cp240[cov_s=0.49 cov_all=0.70 resc=1 dead=2 nd=0 burnt=0.53] cp500[cov_s=0.55 cov_all=0.79 resc=2 dead=2 nd=0 burnt=0.68] cp960[cov_s=0.56 cov_all=0.81 resc=2 dead=2 nd=0 burnt=0.72]
DONE A100_east_half_202 rc=0 size=175988 12:06:14 A100 grid=100 east/half seed=202 steps=960 rescued=3 dead=1 unreachable=0 nd=0 ff_deaths=1 terminal=374 wall=9227s init=0.1s mem=952.4 nsb={'calls': 3916930, 'builds': 903, 'verified': 19584, 'mismatch': 0, 'fallback': 0, 'enabled': True} cp240[cov_s=0.49 cov_all=0.66 resc=2 dead=1 nd=0 burnt=0.27] cp500[cov_s=0.73 cov_all=0.86 resc=3 dead=1 nd=0 burnt=0.51] cp960[cov_s=0.73 cov_all=0.88 resc=3 dead=1 nd=0 burnt=0.77]
DONE A100_east_half_404 rc=0 size=174570 12:06:23 A100 grid=100 east/half seed=404 steps=960 rescued=1 dead=3 unreachable=0 nd=0 ff_deaths=1 terminal=312 wall=9231s init=0.1s mem=947.5 nsb={'calls': 2492038, 'builds': 619, 'verified': 12460, 'mismatch': 0, 'fallback': 0, 'enabled': True} cp240[cov_s=0.46 cov_all=0.51 resc=1 dead=2 nd=0 burnt=0.48] cp500[cov_s=0.55 cov_all=0.74 resc=1 dead=3 nd=0 burnt=0.74] cp960[cov_s=0.56 cov_all=0.78 resc=1 dead=3 nd=0 burnt=0.76]
