latchfix east seed 101 done 768.5s: rescued=2 dead=2 ff_deaths=1 | fires=0 recoveries=0 bad_assign=0
latchfix east seed 202 done 551.6s: rescued=2 dead=2 ff_deaths=1 | fires=1 recoveries=0 bad_assign=0
latchfix east seed 303 done 416.2s: rescued=1 dead=3 ff_deaths=1 | fires=2 recoveries=0 bad_assign=0
latchfix east seed 404 done 415.0s: rescued=2 dead=2 ff_deaths=1 | fires=3 recoveries=0 bad_assign=0
latchfix east seed 505 done 394.5s: rescued=2 dead=2 ff_deaths=1 | fires=4 recoveries=0 bad_assign=0
latchfix east seed 606 done 543.3s: rescued=1 dead=2 ff_deaths=1 | fires=5 recoveries=0 bad_assign=0
latchfix east seed 707 done 131.3s: rescued=4 dead=0 ff_deaths=0 | fires=5 recoveries=0 bad_assign=0
latchfix east seed 808 done 442.5s: rescued=2 dead=1 ff_deaths=2 | fires=7 recoveries=1 bad_assign=0
latchfix east seed 909 done 351.3s: rescued=2 dead=2 ff_deaths=1 | fires=7 recoveries=1 bad_assign=0
latchfix east seed 111 done 497.7s: rescued=4 dead=0 ff_deaths=0 | fires=7 recoveries=1 bad_assign=0
latchfix east seed 222 done 549.6s: rescued=3 dead=1 ff_deaths=1 | fires=8 recoveries=2 bad_assign=0
latchfix east seed 333 done 434.9s: rescued=2 dead=2 ff_deaths=2 | fires=9 recoveries=2 bad_assign=1
latchfix east seed 444 done 113.3s: rescued=3 dead=0 ff_deaths=0 | fires=9 recoveries=2 bad_assign=1
E:\Projects\SAS\.claude\worktrees\route-blocked-trigger-fix-54d983\outputs\_rblatch_camp_latchfix_D_east.json
latchfix south seed 101 done 286.4s: rescued=2 dead=1 ff_deaths=2 | fires=1 recoveries=0 bad_assign=0
latchfix south seed 202 done 241.7s: rescued=3 dead=1 ff_deaths=0 | fires=1 recoveries=0 bad_assign=0
latchfix south seed 303 done 199.0s: rescued=3 dead=1 ff_deaths=0 | fires=1 recoveries=0 bad_assign=0
latchfix south seed 404 done 258.0s: rescued=2 dead=2 ff_deaths=1 | fires=1 recoveries=0 bad_assign=0
latchfix south seed 505 done 244.9s: rescued=3 dead=1 ff_deaths=0 | fires=1 recoveries=0 bad_assign=0
E:\Projects\SAS\.claude\worktrees\route-blocked-trigger-fix-54d983\outputs\_rblatch_camp_latchfix_D_south.json
