"scenario","wind","seed","rescued","dead","unreachable","candidate","rescue_rate","firefighter_deaths","burnt_cells","terminal_step","all_terminal"
"A","north","101","2","2","0","1","40","0","713",,"False"
"A","north","404","3","1","0","1","60","1","630",,"False"
"A","south","303","3","1","0","1","60","1","1026",,"False"
"A","west","303","2","1","0","2","40","0","384",,"False"
"A","west","404","2","1","0","2","40","2","701",,"False"
"A","west","505","1","1","0","3","20","1","619",,"False"
"B","north","101","1","0","0","1","50","1","713",,"False"
"B","north","404","1","0","0","1","50","1","630",,"False"
"B","west","303","0","1","0","1","0","0","384",,"False"
"B","west","404","1","0","0","1","50","1","701",,"False"
"B","west","505","0","1","0","1","0","0","619",,"False"
"C","north","404","1","1","0","1","33.3","1","630",,"False"
"C","west","303","2","0","0","1","66.7","0","384",,"False"
"C","west","505","2","0","0","1","66.7","0","619",,"False"
"D","north","101","2","1","0","1","50","0","713",,"False"
"D","north","404","2","0","0","2","50","1","630",,"False"
"D","north","505","2","1","0","1","50","0","1006",,"False"
"D","south","101","2","1","0","1","50","2","1782",,"False"
"D","south","303","2","1","0","1","50","0","1026",,"False"
"D","east","202","2","1","0","1","50","1","749",,"False"
"D","west","303","1","0","0","3","25","0","384",,"False"
"D","west","404","3","0","0","1","75","0","701",,"False"
"D","west","505","2","1","0","1","50","0","619",,"False"
