"scenario","wind","rescued","dead","unreachable","candidate","rescue_rate","firefighter_deaths","burnt_cells","terminal_step","all_terminal"
"A","north","2.6","2","0","0.4","52","0.8","948.4","165","False"
"A","south","3.4","1.4","0","0.2","68","1.4","1353","147.5","False"
"A","east","3.6","1.4","0","0","72","1.6","1188.6","128.2","True"
"A","west","2.2","1.4","0","1.4","44","1","960","149","False"
"B","north","1.2","0.4","0","0.4","60","0.8","948.4","106","False"
"B","south","1.8","0.2","0","0","90","0.8","1353","94","True"
"B","east","1.2","0.8","0","0","60","1","1188.6","52","True"
"B","west","0.6","0.8","0","0.6","30","0.6","960","109.5","False"
"C","north","1.8","1","0","0.2","60","1.4","948.4","130.2","False"
"C","south","2.8","0.2","0","0","93.34","1","1353","101.6","True"
"C","east","1.8","1.2","0","0","60.02","1.4","1188.6","96.6","True"
"C","west","2","0.6","0","0.4","66.7","0.8","960","134.7","False"
"D","north","1.8","1.4","0","0.8","45","0.8","948.4","202.5","False"
"D","south","2.2","1.4","0","0.4","55","1","1353","115","False"
"D","east","2","1.8","0","0.2","50","1","1188.6","146","False"
"D","west","2.2","0.8","0","1","55","0.4","960","130","False"
